BarrierID,Status,LastUpdate,Type,BarrierCk,CheckType,BarrierCk2,CheckType2,Descrip,Redev,long,lat
1,closed,09/21/18,complete,07/21/17,in-person,NA,NA,4300-block of Darby St at Damon Ave,FALSE,-90.27091074256596,38.693595459533014
2,open,04/06/18,NA,08/11,google maps,NA,NA,NA,NA,-90.27703299909386,38.68139399988967
3,closed,09/21/18,complete,07/31/17,in-person,NA,NA,"4900-block of Palm St, mid-block",FALSE,-90.25177801292625,38.67527193573065
4,closed,09/21/18,complete,07/21/17,in-person,NA,NA,"8700-block of Annetta, mid-block",FALSE,-90.23776164120962,38.71737192429043
6,closed,09/21/18,complete,10/12,google maps,NA,NA,600-block of Coal Bank Rd at the City boundary,FALSE,-90.18396344836796,38.77239175685306
7,closed,09/21/18,complete,10/11,google maps,NA,NA,3200-block of Hall St at Buchanan St,FALSE,-90.18990291430865,38.65970097743545
9,closed,09/21/18,partial,09/12,google maps,NA,NA,10100-block of Lookaway Dr at Shepley Blvd,FALSE,-90.19312000010156,38.75372101256238
10,open,04/06/18,NA,07/16,google maps,NA,NA,NA,NA,-90.20394172734146,38.66518909124388
11,closed,09/21/18,complete,06/29/17,in-person,NA,NA,1900-block of Penrose St at North 19th St,FALSE,-90.20460787900048,38.6659870310948
12,open,04/06/18,NA,08/17,google maps,NA,NA,NA,NA,-90.22007218863271,38.67487248630817
13,closed,09/21/18,complete,06/29/17,in-person,NA,NA,2000-block of Agnes Ave at North 21st St,FALSE,-90.20256749983663,38.6573922369632
14,closed,09/21/18,complete,06/30/17,in-person,NA,NA,3800-block of Ashland Ave at Vandeventer Blvd,FALSE,-90.22406222190581,38.661575210915856
16,closed,09/21/18,complete,07/17,google maps,NA,NA,3500-block of Bailey Ave at North Grand Blvd,FALSE,-90.21501923175941,38.663329524878804
15,closed,09/21/18,complete,07/22/17,in-person,NA,NA,2900-block of Bailey Ave at Glasgow Ave,FALSE,-90.21170959727363,38.66188434461924
17,closed,09/21/18,complete,07/22/17,in-person,NA,NA,2900-block of Barrett St at Glasgow Ave,FALSE,-90.21224221418161,38.66114352492337
18,closed,09/21/18,complete,06/29/17,in-person,NA,NA,1100-block of Bremen Ave at North 11th St,FALSE,-90.19907140826048,38.66384969868444
19,closed,09/21/18,complete,06/29/17,in-person,NA,NA,1100-block of Bremen Ave at North 14th St,FALSE,-90.1999134024326,38.66357265247568
20,closed,09/21/18,complete,06/29/17,in-person,NA,NA,1900-block of Bremen Ave at North 20th St,FALSE,-90.20374239201868,38.66232580484417
21,closed,09/21/18,complete,06/29/17,in-person,NA,NA,1500-block of Bremen Ave at Blair Ave,FALSE,-90.20145715674556,38.66304958881809
22,open,04/06/18,NA,07/17,google maps,NA,NA,NA,NA,-90.2041244976118,38.657606949514665
23,closed,09/21/18,complete,06/30/17,in-person,NA,NA,3600-block of Dodier St at North Spring Ave,FALSE,-90.22164161792547,38.65744421954973
24,open,04/06/18,NA,07/16,google maps,NA,NA,NA,NA,-90.20281890965492,38.66842480899214
25,closed,09/21/18,complete,07/22/17,in-person,NA,NA,1500-block of Gano Ave at North 20th St,FALSE,-90.21033460584927,38.672665906700075
26,open,04/06/18,NA,08/14,google maps,NA,NA,NA,NA,-90.20849358542473,38.67365020177805
27,closed,09/21/18,complete,06/30/17,in-person,NA,NA,3800-block of Greer Ave at Vandeventer Blvd,FALSE,-90.22525594679486,38.659917483443444
28,closed,09/21/18,complete,07/22/17,in-person,NA,NA,"3500-block of Harper St, mid-block",FALSE,-90.21562821223162,38.661656339124484
30,closed,09/21/18,complete,06/29/17,in-person,NA,NA,2300-block of Mallinckrodt St at North 25th St,FALSE,-90.20783345697059,38.657556155893836
32,closed,09/21/18,complete,06/29/17,in-person,NA,NA,4229-block of North 19th St at Farragut St,FALSE,-90.20497511843521,38.666831809024885
34,closed,09/21/18,complete,07/22/17,in-person,NA,NA,3500-block of Palm St at North Grand Blvd,FALSE,-90.21724394141452,38.66008437416763
35,open,04/06/18,NA,05/17,google maps,NA,NA,NA,NA,-90.21091850194263,38.66578723760309
36,closed,09/21/18,complete,06/29/17,in-person,NA,NA,4200-block of Randall Pl at East Penrose StL,FALSE,-90.20197656135524,38.66692980276732
37,closed,09/21/18,complete,06/29/17,in-person,NA,NA,4200-block of 21st St at Penrose St,FALSE,-90.20678551098372,38.6653529687421
38,closed,09/21/18,complete,09/14,google maps,NA,NA,4000-block of North 22nd St at Newhouse Ave,FALSE,-90.20790820597523,38.66252252057338
39,closed,09/21/18,complete,06/29/17,in-person,NA,NA,3400-block of North 22nd St at Palm St,FALSE,-90.20502274974369,38.65669206508008
40,open,04/06/18,NA,09/14,google maps,NA,NA,NA,NA,-90.20685995744776,38.657868598833204
41,open,04/06/18,NA,09/14,google maps,NA,NA,NA,NA,-90.20893354361017,38.66211353413804
42,closed,09/21/18,complete,06/29/17,in-person,NA,NA,3500-block of North 23rd St at Palm St,FALSE,-90.20582946370664,38.65686623060117
43,closed,09/21/18,complete,10/11,google maps,NA,NA,3900-block of Cote Brilliante Ave at Vandeventer Ave,FALSE,-90.23101440620106,38.65224820397971
44,closed,09/21/18,complete,07/31/17,in-person,NA,NA,4000-block of Cote Brilliante Ave at North Sarah St,FALSE,-90.23548776814066,38.654230433045896
45,open,04/06/18,NA,09/16,google maps,NA,NA,NA,NA,-90.23998014069446,38.660496073377544
46,closed,09/21/18,complete,07/31/17,in-person,NA,NA,4600-block of North Market St at Cora Ave,FALSE,-90.24961854925719,38.66262931355691
47,closed,09/21/18,complete,09/14,google maps,NA,NA,4600-block of North Market St at Marcus Ave,FALSE,-90.25115421388432,38.663296690097695
48,open,04/06/18,NA,07/17,google maps,NA,NA,NA,NA,-90.23772949113021,38.65847740847867
49,open,04/06/18,NA,09/16,google maps,NA,NA,NA,NA,-90.24053612673463,38.659682523371
50,closed,09/21/18,complete,06/30/17,in-person,NA,NA,3800-block of Sullivan Ave at Vandeventer Blvd,FALSE,-90.22464247236906,38.66072351546237
51,closed,09/21/18,partial,05/15,google maps,NA,NA,Intersection of North 19th St and Benton St partially blocked,FALSE,-90.20187190612843,38.648039235613574
52,closed,09/21/18,complete,08/17,google maps,NA,NA,1500-block of Chambers St at North 16th St,FALSE,-90.1976014507892,38.64441328540318
53,closed,09/21/18,complete,07/17,google maps,NA,NA,1900-block of Dodier St at North Florissant Ave,FALSE,-90.20089471194055,38.65269184783672
54,closed,09/21/18,complete,08/17,google maps,NA,NA,"1500-block of North 18th St, mid-blockL",FALSE,-90.20039806350074,38.643092435724654
55,closed,09/21/18,complete,06/22/17,in-person,NA,NA,1200-block of North 11th St at O’Fallon St,FALSE,-90.19263299976643,38.638027000171874
56,closed,09/21/18,complete,08/17,google maps,NA,NA,1400-block of O’Fallon St at North 14th StLL,FALSE,-90.19689086219238,38.63910184643327
57,open,04/06/18,NA,08/17,google maps,NA,NA,NA,NA,-90.19699827902103,38.637802876907536
58,open,04/06/18,NA,08/17,google maps,NA,NA,NA,NA,-90.19619949936417,38.64160564827048
59,closed,09/21/18,complete,06/22/17,in-person,NA,NA,1200-block of Hadley St at O’Fallon St,FALSE,-90.19354600006426,38.63821399988926
61,closed,09/21/18,complete,06/29/17,in-person,NA,NA,3233-block of Knapp St at Branch St,FALSE,-90.20010008745808,38.65650459261729
62,closed,09/21/18,complete,08/17,google maps,NA,NA,1500-block of North 16th St at Mullanphy St,FALSE,-90.1980259361452,38.643356104689005
64,closed,09/21/18,partial,05/15,google maps,NA,NA,Intersection of North 19th St and Warren St partially blocked,FALSE,-90.20158752820977,38.64881703815655
65,closed,09/21/18,partial,07/17,google maps,NA,NA,1300-block of O’Fallon St at North 13th St,FALSE,-90.19495985430613,38.63869026210157
66,closed,09/21/18,partial,05/17,google maps,NA,NA,1400-block of O’Fallon St at East 14th St,FALSE,-90.19596781100834,38.63890474053367
67,closed,09/21/18,complete,06/29/17,in-person,NA,NA,1400-block of East Penrose St at Blair Ave,FALSE,-90.2033157118555,38.66642475439353
69,closed,09/21/18,complete,08/17,google maps,NA,NA,1500-block of Mullanphy St at North 16th St,FALSE,-90.19776915425372,38.64341464793828
70,closed,09/21/18,complete,06/16,google maps,NA,NA,1300-block of North 16th St at O’Fallon St,FALSE,-90.19929536385777,38.63966124994877
71,closed,09/21/18,complete,06/29/17,in-person,NA,NA,2800-block of North 21st St at Hebert St,FALSE,-90.2025716036878,38.65447342053151
73,closed,09/21/18,complete,07/17,google maps,NA,NA,1427-block of Wright St at North Florissant Ave,FALSE,-90.20022531497912,38.65177897338837
194,closed,09/21/18,complete,07/17,google maps,NA,NA,1239-block of Aubert Ave at Page Blvd,FALSE,-90.26067133554092,38.65960809325032
197,closed,09/21/18,complete,05/15,google maps,NA,NA,"1100-block of Bayard Ave, mid-block",FALSE,-90.25825462101004,38.6559170593626
201,closed,09/21/18,complete,05/15,google maps,NA,NA,4800-block of Fountain Ave at Walton Ave,FALSE,-90.257025411229307,38.6551674919093
198,closed,09/21/18,complete,07/17,google maps,NA,NA,4300-block of Enright Ave at North Newstead Ave,FALSE,-90.24956138939542,38.649771492887226
200,closed,09/21/18,complete,07/17,google maps,NA,NA,"4500-block of Enright Ave, mid-block",FALSE,-90.25331665808403,38.65166632484323
202,closed,09/21/18,complete,07/17,google maps,NA,NA,4200-block of Maryland Ave at Whittier St,FALSE,-90.24801656128344,38.641582900134246
203,closed,09/21/18,complete,05/15,google maps,NA,NA,4700-block of McMillan Ave at Walton Ave,FALSE,-90.25697185841096,38.65399888165434
204,closed,09/21/18,complete,05/28/17,in-person,NA,NA,"500-block of Walton Ave, mid-block",FALSE,-90.2581433294526,38.64905788166354
205,open,04/06/18,NA,05/28/17,in-person,NA,NA,NA,NA,-90.2462328635818,38.644329092640845
206,closed,09/21/18,complete,05/28/17,in-person,NA,NA,4400-block of Washington Ave at North Newstead Ave,FALSE,-90.25125747378185,38.64805165297482
207,closed,09/21/18,complete,07/17,google maps,NA,NA,500-block of Pendleton Ave at North Boyle Ave,FALSE,-90.24891042761934,38.64630695946829
208,closed,09/21/18,complete,05/17,google maps,NA,NA,4700-block of Washington Ave at Walton Ave,FALSE,-90.25783439864375,38.64998759022832
209,open,04/06/18,NA,07/17,google maps,NA,NA,NA,NA,-90.24095699961696,38.64747499972536
210,closed,09/21/18,complete,05/28/17,in-person,NA,NA,4400-block of Westminster Pl at North Taylor Ave,FALSE,-90.25547505049629,38.647204843392316
211,closed,09/21/18,partial,05/28/17,in-person,NA,NA,Intersection of McPherson Ave and Whittier St,FALSE,-90.24753293381072,38.642523972666375
231,closed,09/21/18,complete,07/21/17,in-person,NA,NA,"1421-block of Amherst Pl, mid-block",FALSE,-90.28498439381849,38.6722875523833
232,closed,09/21/18,complete,08/11,google maps,NA,NA,5700-block of Etzel Ave at Blackstone Ave,FALSE,-90.28309415351244,38.663778081371596
233,closed,09/21/18,complete,07/17,google maps,NA,NA,5700-block of Julian Ave at Goodfellow Blvd,FALSE,-90.28408737398895,38.66538482081831
234,open,04/06/18,NA,09/11,google maps,NA,NA,NA,NA,-90.27209815641855,38.675094637221534
235,closed,09/21/18,partial,07/17,google maps,NA,NA,5800-block of Etzel Ave at Goodfellow Blvd,FALSE,-90.28542551106817,38.66403614045274
237,closed,09/21/18,complete,05/29/17,in-person,NA,NA,4300-block of Beck Ave at Ridgewood Ave,FALSE,-90.26942325367587,38.59240394922641
264,closed,09/21/18,complete,08/17,google maps,NA,NA,6100-block of Lucille Ave at Mimika Ave,FALSE,-90.2570404498847,38.70545582337579
265,closed,09/21/18,complete,06/25/17,in-person,NA,NA,5300-block of Waterman Blvd at Belt Ave,FALSE,-90.27804204967997,38.64917327771136
266,closed,09/21/18,complete,06/30/17,in-person,NA,NA,"5700-block of De Giverville Ave, mid-block",FALSE,-90.28593288621198,38.64871886264382
267,closed,09/21/18,complete,06/30/17,in-person,NA,NA,"5938-block of De Giverville Ave, mid-block",FALSE,-90.29287141556229,38.6541524410918
268,closed,09/21/18,complete,06/30/17,in-person,NA,NA,500-block of Des Peres Ave at Washington Ave,FALSE,-90.29422026691091,38.654127655366956
269,open,04/06/18,NA,06/30/17,in-person,NA,NA,NA,NA,-90.29055501178928,38.65454133421766
270,closed,09/21/18,complete,06/25/17,in-person,NA,NA,5500-block of Kingsbury Blvd at Clara Ave,FALSE,-90.28235555612707,38.65106224182918
271,closed,09/21/18,complete,06/25/17,in-person,NA,NA,5630-block of Kingsbury Ave at DeBaliviere Ave,FALSE,-90.28457784456579,38.651285825036496
272,closed,09/21/18,complete,06/30/17,in-person,NA,NA,5700-block of Kingsbury Ave at Laurel St,FALSE,-90.2890144834804,38.651996897113726
273,closed,09/21/18,complete,07/17,google maps,NA,NA,"600-block of Lake Ave, mid-block",FALSE,-90.2697815308022,38.651535329889086
274,closed,09/21/18,complete,05/28/17,in-peson,NA,NA,4300-block of McPherson Ave at North Boyle Ave,FALSE,-90.24982949795199,38.643530867248
275,closed,09/21/18,complete,05/28/17,in-person,NA,NA,4400-block of McPherson Ave at North Taylor Ave,FALSE,-90.25611642705596,38.64630139596244
276,closed,09/21/18,complete,05/28/17,in-person,NA,NA,4300-block of North Newstead Ave at Olive St,FALSE,-90.2520736869786,38.64678632632225
277,closed,09/21/18,partial,06/30/17,in-person,NA,NA,5800-block of Nina Pl at McPherson Ave,FALSE,-90.2918889254668,38.6510661154269
278,closed,09/21/18,complete,05/28/17,in-person,NA,NA,4500-block of Pershing Ave at North Taylor Ave,FALSE,-90.25713320570203,38.64528013004696
280,closed,09/21/18,complete,06/30/17,in-person,NA,NA,"533-block of Rosedale Ave, mid-block",FALSE,-90.29611118986031,38.65459618921532
281,closed,09/21/18,complete,07/17,google maps,NA,NA,"5000-block of Washington Ave, mid-blockL",FALSE,-90.26502594207119,38.65061814361205
282,redeveloped,04/06/18,NA,06/30/17,NA,NA,NA,NA,NA,-90.29034915038847,38.653553375659
283,open,04/06/18,NA,06/25/17,in-person,NA,NA,NA,NA,-90.27382744066703,38.651594626816035
285,closed,09/21/18,complete,06/25/17,in-person,NA,NA,5630-block of Waterman Blvd at DeBaliviere Ave,FALSE,-90.28470383711624,38.649818561863135
286,closed,09/21/18,complete,05/28/17,in-peson,NA,NA,4300-block of Westminster Pl at North Boyle Ave,FALSE,-90.24916119925867,38.644411063713434
287,closed,09/21/18,complete,05/28/17,in-person,NA,NA,4700-block of Westminster Pl at North Euclid Ave,FALSE,-90.26068923444423,38.64950147951915
288,closed,09/21/18,complete,06/30/17,in-person,NA,NA,5700-block of Westminster Pl at Laurel St,FALSE,-90.28892584003522,38.652585879046775
290,open,04/06/18,NA,08/17,google maps,NA,NA,NA,NA,-90.27219499253016,38.658929252794856
74,closed,09/21/18,complete,05/26/17,in-person,NA,NA,3100-block of Allen Ave at South Compton Ave,FALSE,-90.23288333272446,38.613466659225296
75,closed,09/21/18,complete,05/29/17,in-person,NA,NA,2900-block of Allen Ave at Nebraska Ave,FALSE,-90.22857399923409,38.61290700005517
78,closed,09/21/18,complete,06/02/17,in-person,NA,NA,1100-block of Dolman St at the 1000-block of Dolman St,FALSE,-90.20900322706092,38.619622316618205
79,closed,09/21/18,complete,06/02/17,in-person,NA,NA,1600-block of Dolman St at Lafayette Ave,FALSE,-90.2106109236568,38.61376044801859
80,closed,09/21/18,complete,5/31/18,in-person,NA,NA,2800-block of Eads Ave at Nebraska Ave,FALSE,-90.22729918847459,38.617386617516004
81,closed,09/21/18,complete,06/02/17,in-person,NA,NA,1100-block of South 18th St at the 1000-block of South 18th St,FALSE,-90.2101069997634,38.61975100030912
83,closed,09/21/18,complete,06/02/17,in-person,NA,NA,1600-block of South 18th St at Lafayette Ave,FALSE,-90.21180404240936,38.613837693986355
84,closed,09/21/18,complete,05/26/17,in-person,NA,NA,3100-block of Geyer Ave at South Compton Ave,FALSE,-90.23267687972321,38.61435793186584
86,closed,09/21/18,complete,05/29/17,in-person,NA,NA,"2600-block of Geyer Ave, mid-block",FALSE,-90.22211499993091,38.61303299972454
87,closed,09/21/18,complete,05/29/17,in-person,NA,NA,"2832-block of Geyer Ave, mid-block",FALSE,-90.22774116723632,38.6137499513377
89,closed,09/21/18,complete,05/29/17,in-person,NA,NA,3400-block of Hartford St at Louisiana Ave,FALSE,-90.23797255604907,38.60126439044824
90,closed,09/21/18,complete,5/31/18,in-person,NA,NA,2800-block of Henrietta St at Nebraska Ave,FALSE,-90.22747400028308,38.61647700048665
91,closed,09/21/18,complete,5/31/18,in-person,NA,NA,2900-block of Henrietta St at Pennsylvania Ave,FALSE,-90.22909068080115,38.61667980181368
92,closed,09/21/18,complete,06/02/17,in-person,NA,NA,1600-block of Hickory St at Truman Pkwy,FALSE,-90.20888194710497,38.61822341738742
94,open,04/06/18,NA,06/02/17,in-person,NA,NA,NA,NA,-90.20834999996706,38.61783599984923
95,closed,09/21/18,complete,07/17,google maps,NA,NA,2300-block of Hickory St at South Jefferson Ave,FALSE,-90.21915989334062,38.62029776890068
96,closed,09/21/18,complete,05/31/17,in-person,NA,NA,2700-block of Hickory St at Ohio Ave,FALSE,-90.22154327412804,38.621083456189666
97,closed,09/21/18,complete,05/31/17,in-person,NA,NA,3100-block of Hickory St at South Compton Ave,FALSE,-90.23035655340061,38.6229304873777
98,closed,09/21/18,complete,06/02/17,in-person,NA,NA,1800-block of LaSalle St at South 18th St,FALSE,-90.21037665647037,38.61954102607772
99,closed,09/21/18,complete,06/02/17,in-person,NA,NA,1100-block of MacKay Pl at the 1000-block of MacKay Pl,FALSE,-90.21546112106022,38.62057934717217
101,closed,09/21/18,complete,05/31/17,in-person,NA,NA,2700-block of Rutger St at Ohio Ave,FALSE,-90.22182283196643,38.62027991544722
102,closed,09/21/18,complete,05/31/17,in-person,NA,NA,2600-block of Rutger St at South Jefferson Ave,FALSE,-90.21977999960289,38.619888000451986
103,closed,09/21/18,complete,05/31/17,in-person,NA,NA,2800-block of Rutger St at Ohio Ave,FALSE,-90.22435627210507,38.62079011568401
104,closed,09/21/18,complete,05/31/17,in-person,NA,NA,3100-block of Rutger St at South Compton Ave,FALSE,-90.23063764616799,38.62207464860775
108,closed,09/21/18,complete,5/31/18,in-person,NA,NA,2800-block of St Vincent Ave at Nebraska Ave,FALSE,-90.22719659852899,38.61825005802226
113,closed,09/21/18,complete,05/29/17,in-person,NA,NA,"2600-block of Allen Ave, mid-block",FALSE,-90.22223687880908,38.61213638931278
114,closed,09/21/18,complete,05/29/17,in-person,NA,NA,"2600-block of Ann Ave, mid-block",FALSE,-90.22278504689343,38.610322373971194
115,closed,09/21/18,complete,05/29/17,in-person,NA,NA,"2600-block of Armand Pl, mid-block",FALSE,-90.22305031188404,38.6085549497981
117,closed,09/21/18,complete,05/29/17,in-person,NA,NA,2800-block of Victor St at California Ave,FALSE,-90.22743700030823,38.60728399980021
118,closed,09/21/18,complete,06/02/17,in-person,NA,NA,1600-block of Carroll St at Truman Pkwy,FALSE,-90.20969598592427,38.61486699797007
120,closed,09/21/18,complete,06/22/17,in-person,NA,NA,1100-block of Carroll St at South Tucker Blvd,FALSE,-90.20527849110377,38.61345854170289
122,open,04/06/18,NA,08/17,google maps,NA,NA,NA,NA,-90.19518242915954,38.618505223062705
128,closed,09/21/18,complete,07/17,google maps,NA,NA,"3600-block of Blaine Ave, mid-block",FALSE,-90.23992599935362,38.61906300004277
129,closed,09/21/18,complete,05/20/17,in-person,NA,NA,"3600-block of Botanical Ave, mid-block",FALSE,-90.24215329339827,38.60882731159631
130,closed,09/21/18,complete,05/20/17,in-person,NA,NA,4200-block of Botanical Ave at Tower Grove Ave,FALSE,-90.2575120235159,38.61029866230255
131,closed,09/21/18,complete,05/20/17,in-person,NA,NA,3900-block of Castleman Ave at Lawrence Ave,FALSE,-90.24744699984983,38.615024999570586
132,closed,09/21/18,complete,05/20/17,in-person,NA,NA,4200-block of Castleman Ave at Tower Grove Ave,FALSE,-90.25630022346134,38.61580118159978
133,closed,09/21/18,complete,05/20/17,in-person,NA,NA,"3600-block of Cleveland Ave, mid-block",FALSE,-90.24163336722016,38.61056506676104
134,closed,09/21/18,complete,05/20/17,in-person,NA,NA,4200-block of Cleveland Ave at Tower Grove Ave,FALSE,-90.25715524872152,38.61202564695122
136,closed,09/21/18,complete,05/20/17,in-person,NA,NA,"3600-block of Flad Ave, mid-block",FALSE,-90.24142405732644,38.61143474470949
137,closed,09/21/18,complete,05/20/17,in-person,NA,NA,"3600-block of Flad Ave, mid-block",FALSE,-90.24128112287418,38.61142125003366
138,closed,09/21/18,complete,05/20/17,in-person,NA,NA,4200-block of Flad Ave at Tower Grove Ave,FALSE,-90.25697602288466,38.61290317411239
140,closed,09/21/18,complete,05/20/17,in-person,NA,NA,4200-block of Flora Pl at Tower Grove Ave,FALSE,-90.25665300045557,38.61388000046238
139,closed,09/21/18,complete,05/20/17,in-person,NA,NA,3600-block of Flora Pl at South Grand Blvd,FALSE,-90.24054099986127,38.61234999981915
141,closed,09/21/18,complete,06/30/18,google maps,NA,NA,3800-block of Folsom Ave at 39th St,FALSE,-90.24446042916038,38.620393151650035
142,closed,09/21/18,complete,07/17,google maps,NA,NA,3900-block of McCree Ave at 39th St,FALSE,-90.24511599965119,38.618620000117204
143,closed,09/21/18,complete,05/26/17,in-person,NA,NA,4000-block of McCree Ave at Thurman Ave,FALSE,-90.25005239860229,38.61907437550653
144,closed,09/21/18,complete,06/16,google maps,NA,NA,"3600-block of McRee Ave, mid-block",FALSE,-90.2399675176191,38.618149612200014
145,closed,09/21/18,complete,05/20/17,in-person,NA,NA,4200-block of Russell Blvd at Tower Grove Ave,FALSE,-90.25657906363816,38.61499179640494
146,closed,09/21/18,complete,05/20/17,in-person,NA,NA,"3600-block of Shenandoah Ave, mid-block",FALSE,-90.24167999979146,38.60966499972991
147,closed,09/21/18,complete,05/20/17,in-person,NA,NA,4200-block of Shenandoah Ave at Tower Grove Ave,FALSE,-90.25734108846294,38.611158593401804
148,closed,09/21/18,complete,05/20/17,in-person,NA,NA,1700-block of Thurman Ave at Detonty St,FALSE,-90.25041526653379,38.61726330921739
150,closed,09/21/18,complete,05/29/17,in-person,NA,NA,"3500-block of Crittenden St, mid-block",FALSE,-90.24195612861696,38.60356558872766
152,closed,09/21/18,complete,05/29/17,in-person,NA,NA,3300-block of Humphrey St at Gravois Ave,FALSE,-90.23761218134707,38.59734790417723
153,closed,09/21/18,complete,06/02/17,in-person,NA,NA,3100-block of Illinois Ave at Arsenal St,FALSE,-90.22057976840422,38.59779943468992
156,closed,09/21/18,complete,06/22/17,in-person,NA,NA,2600-block of Gasconade St at Ohio Ave,FALSE,-90.23013487232149,38.58098936011874
